estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
79016,38518,40498,95.1,4925,5157,5206,5425,6961,9288,9401,10347,4827,4936,7462,3578,1503,37.4,18518,62509,60498,56126,15282,12543,60498,29274,31224,93.8,12543,5601,6942,80.7,79016,76981,2035,76981,71368,3402,455,0,0,0,0,500,N,N,N,N,N,N,N,0,N,N,N,N,1256,2035,951,619,258,0,79016,73403,4445,1166,758,N,1371,79016,3439,N,N,N,N,75577,69622,3371,339,500,0,0,1745,0,310M300US42620,"Searcy, AR Micro Area",2017,42620
3867046,1936045,1931001,100.3,239103,237510,225656,217211,239660,644572,552548,521083,246581,237089,307573,135416,63044,37.1,836512,3121346,3030534,2903645,648413,506033,3030534,1508116,1522418,99.1,506033,225270,280763,80.2,3867046,3598386,268660,3598386,2645382,219502,25961,0,0,0,0,522036,98078,125678,86621,27399,48435,64069,71756,34537,4643,7845,13207,8842,150968,268660,56410,45299,84043,4980,3867046,2880385,306084,92651,643736,60425,181795,3867046,389865,274770,22574,6675,85846,3477181,2451478,214695,21038,517804,33275,11868,227023,7361,310M300US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2017,42660
154383,73394,80989,90.6,6753,6457,6672,9585,7810,12300,13536,17938,13887,10428,26278,15107,7632,53.3,25527,132026,128856,123752,54757,49017,128856,60673,68183,89.0,49017,22483,26534,84.7,154383,150342,4041,150342,134192,13257,179,0,0,0,0,1729,N,N,N,N,N,N,N,0,N,N,N,N,985,4041,1788,659,1041,0,154383,138015,15263,838,2988,N,1320,154383,19285,10159,1645,1669,5812,135098,116161,13064,179,1729,0,279,3686,51,310M300US42680,"Sebastian-Vero Beach, FL Metro Area",2017,42680
102883,48496,54387,89.2,5131,3970,6831,4915,2628,10349,9289,10058,6368,7594,17035,13517,5198,53.4,18291,85996,84592,81491,39191,35750,84592,40604,43988,92.3,35750,16740,19010,88.1,102883,100312,2571,100312,83669,9993,247,0,0,0,0,1721,N,N,N,N,N,N,N,0,N,N,N,N,4682,2571,815,636,305,0,102883,86240,10808,883,2026,N,5497,102883,20375,8783,5623,5392,577,82508,69071,9886,247,1644,0,228,1432,0,310M300US42700,"Sebring, FL Metro Area",2017,42700
77270,38412,38858,98.9,3914,5315,3528,4525,3889,8476,7939,10067,4833,7090,10379,5277,2038,46.7,15339,63612,61931,59060,22374,17694,61931,30077,31854,94.4,17694,8308,9386,88.5,77270,75932,1338,75932,67196,5481,1735,0,0,0,0,686,N,N,N,N,N,N,N,0,N,N,N,N,834,1338,N,N,N,N,77270,68210,6496,1974,1075,N,N,77270,4248,N,N,N,N,73022,65091,5464,481,686,0,142,1158,0,310M300US42860,"Seneca, SC Micro Area",2017,42860
97638,47371,50267,94.2,5171,4970,6368,5796,6144,11907,10562,13724,7634,6691,11583,4801,2287,43.2,20279,79879,77359,73600,23085,18671,77359,37272,40087,93.0,18671,8581,10090,85.0,97638,N,N,N,N,N,N,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,97638,94950,1565,876,1425,N,936,97638,5876,N,N,N,N,91762,87817,730,472,559,49,0,2135,223,310M300US42940,"Sevierville, TN Micro Area",2017,42940
72226,34615,37611,92.0,4346,5387,4424,5441,4674,9023,9340,8660,4615,4515,7231,3095,1475,38.1,17202,57525,55024,51008,14230,11801,55024,25684,29340,87.5,11801,5150,6651,77.4,72226,68972,3254,68972,54711,2070,11426,0,0,0,0,217,N,N,N,N,N,N,N,141,N,N,N,N,407,3254,822,2101,39,66,72226,57834,3081,13716,305,236,461,72226,3682,N,N,N,N,68544,52337,1933,10733,217,141,0,3183,16,310M300US43060,"Shawnee, OK Micro Area",2017,43060
115344,58227,57117,101.9,6112,6792,7954,7514,6988,12808,14292,15553,8212,8836,11530,5371,3382,41.6,25653,93091,89691,85614,25231,20283,89691,45095,44596,101.1,20283,9248,11035,83.8,115344,112521,2823,112521,100958,2111,328,0,0,0,0,6537,N,N,N,N,N,N,N,8,N,N,N,N,2579,2823,971,461,349,0,115344,103469,3239,910,7434,N,3464,115344,7488,N,N,N,N,107856,97061,2008,328,6494,0,0,1965,73,310M300US43100,"Sheboygan, WI Metro Area",2017,43100
97334,46613,50721,91.9,5135,4535,7899,7270,6117,10723,10006,14390,6781,6786,10874,5215,1603,41.9,21617,78508,75717,71318,21586,17692,75717,35845,39872,89.9,17692,7651,10041,76.2,97334,95562,1772,95562,73241,20114,36,0,0,0,0,922,N,N,N,N,N,N,N,0,N,N,N,N,1249,1772,N,N,N,N,97334,74800,21522,157,1330,N,1297,97334,3470,1702,874,813,81,93864,71136,20109,0,922,0,0,1697,0,310M300US43140,"Shelby, NC Micro Area",2017,43140
131140,64739,66401,97.5,8335,8170,9485,9189,7355,15408,15264,16731,11000,7454,13393,6405,2951,39.6,31218,102999,99922,94050,27264,22749,99922,48240,51682,93.3,22749,10191,12558,81.2,131140,127151,3989,127151,115225,7174,1626,0,0,0,0,2122,N,N,N,N,N,N,N,33,N,N,N,N,971,3989,2149,1356,284,0,131140,119173,9410,3028,2406,N,1125,131140,17572,N,N,N,N,113568,99072,7174,1626,2082,33,54,3527,34,310M300US43300,"Sherman-Denison, TX Metro Area",2017,43300
108956,55149,53807,102.5,7700,6832,10014,8054,6311,11803,11791,13035,7321,7687,11213,5273,1922,38.1,29445,82430,79511,75044,22756,18408,79511,39660,39851,99.5,18408,8676,9732,89.1,108956,106276,2680,106276,51477,1291,46635,0,0,0,0,638,N,N,N,N,N,N,N,1811,N,N,N,N,4424,2680,150,1523,245,96,108956,53940,1775,48493,990,1841,4822,108956,12283,N,N,N,N,96673,45204,1241,45534,638,1811,75,2170,125,310M300US43320,"Show Low, AZ Micro Area",2017,43320
440933,212365,228568,92.9,31469,28929,29831,27679,29176,59483,55979,51933,28196,27361,40953,21445,8499,36.9,107333,344891,333600,316222,87611,70897,333600,157413,176187,89.3,70897,30657,40240,76.2,440933,429626,11307,429626,247327,171386,2537,0,0,0,0,5262,477,972,1471,0,323,1255,764,235,N,N,N,N,2879,11307,5214,1600,1827,977,440933,257183,178300,5685,7516,514,3704,440933,16917,10714,876,31,5296,424016,235937,170194,2373,5095,235,300,9882,221,310M300US43340,"Shreveport-Bossier City, LA Metro Area",2017,43340
124756,63763,60993,104.5,7516,9166,6036,6875,8352,15800,13156,13711,7345,9983,15286,8803,2727,41.6,27074,100356,97682,93485,33033,26816,97682,49989,47693,104.8,26816,13164,13652,96.4,124756,120621,4135,120621,107676,5042,1981,0,0,0,0,2258,0,507,730,23,644,204,150,473,N,N,N,N,3191,4135,824,92,874,0,124756,110806,6726,2360,3707,1517,4723,124756,44397,39442,1873,284,2798,80359,68628,4671,1692,2258,473,278,2359,265,310M300US43420,"Sierra Vista-Douglas, AZ Metro Area",2017,43420
169131,84877,84254,100.7,11472,10096,14734,11011,11049,20905,19746,20405,11525,10723,15954,7768,3743,37.5,43733,129607,125398,119535,33976,27465,125398,62391,63007,99.0,27465,12658,14807,85.5,169131,164786,4345,164786,147197,3716,3272,0,0,0,0,3351,N,N,N,N,N,N,N,584,N,N,N,N,6666,4345,1002,832,900,1078,169131,150442,5841,5232,4482,892,6841,169131,27376,21204,437,752,4983,141755,129199,2788,2019,3351,584,0,3814,0,310M300US43580,"Sioux City, IA-NE-SD Metro Area",2017,43580
259650,129607,130043,99.7,19580,20003,17998,15556,16045,39589,33623,31593,17391,14138,20566,8836,4732,35.2,67624,198740,192026,183383,43215,34134,192026,95462,96564,98.9,34134,15220,18914,80.5,259650,251272,8378,251272,230100,11838,3311,0,0,0,0,4106,N,N,N,N,N,N,N,141,N,N,N,N,1776,8378,2378,3353,1230,329,259650,237821,15560,7056,6194,266,1855,259650,10722,6938,648,39,3097,248928,222486,11501,3274,4106,104,0,7457,0,310M300US43620,"Sioux Falls, SD Metro Area",2017,43620
74501,39029,35472,110.0,3271,3772,3922,4301,4012,8421,8730,10146,6213,5420,8904,4848,2541,46.1,13975,62787,60526,58844,19582,16293,60526,31485,29041,108.4,16293,7467,8826,84.6,74501,73272,1229,73272,70900,2003,15,0,0,0,0,91,N,N,N,N,N,N,N,25,N,N,N,N,238,1229,N,N,N,N,74501,72106,2872,N,N,N,356,74501,1144,N,N,N,N,73357,N,N,N,N,N,N,N,N,310M300US43740,"Somerset, PA Micro Area",2017,43740
321815,157236,164579,95.5,19950,19982,21585,24195,22897,41013,37935,39496,19064,23176,30457,13840,8225,38.4,75001,255917,246814,229634,66332,52522,246814,118423,128391,92.2,52522,23255,29267,79.5,321815,310474,11341,310474,258693,37897,1397,0,0,0,0,6277,1609,1625,1039,126,414,391,1073,395,N,N,N,N,5815,11341,5154,1603,1818,98,321815,269474,44216,3938,8971,1344,6866,321815,25743,18446,1950,422,4925,296072,240618,37386,1346,6265,395,455,9607,0,310M300US43780,"South Bend-Mishawaka, IN-MI Metro Area",2017,43780
334391,162408,171983,94.4,19657,19472,24406,22720,22259,42055,40867,45452,21530,22091,32892,15469,5521,39.0,76766,265771,257625,244035,67113,53882,257625,123213,134412,91.7,53882,23523,30359,77.5,334391,323726,10665,323726,241112,68555,252,0,0,0,0,7405,972,379,834,0,226,61,4933,306,N,N,N,N,6096,10665,5407,1789,625,1059,334391,250323,76093,4021,8512,690,6723,334391,21186,15612,1906,166,3502,313205,227265,67890,217,7309,306,284,9934,54,310M300US43900,"Spartanburg, SC Metro Area",2017,43900
564291,279690,284601,98.3,34086,33101,35837,37383,38292,78160,67234,70348,39112,37904,57003,25472,10359,38.5,125055,453583,439236,414168,115098,92834,439236,216008,223228,96.8,92834,42426,50408,84.2,564291,536625,27666,536625,496755,7251,10178,0,0,0,0,11512,255,1710,2648,1107,1088,1243,3461,2915,N,N,N,N,8014,27666,6340,8326,5342,768,564291,521900,16836,21868,19714,6089,10385,564291,32461,21650,2595,1324,6892,531830,477672,6840,8111,11139,2843,421,24804,306,310M300US44060,"Spokane-Spokane Valley, WA Metro Area",2017,44060
207596,99753,107843,92.5,11982,13851,12561,12438,12209,25871,25201,28253,15123,14491,20817,11076,3723,40.8,46312,166714,161284,154434,43909,35616,161284,76114,85170,89.4,35616,15046,20570,73.1,207596,202352,5244,202352,171341,25653,210,0,0,0,0,4518,2413,685,582,109,100,61,568,161,N,N,N,N,469,5244,2577,1525,434,0,207596,176432,28512,2169,5096,N,795,207596,4589,3389,434,0,766,203007,168384,25433,136,4332,161,103,4458,0,310M300US44100,"Springfield, IL Metro Area",2017,44100
631652,302769,328883,92.1,31877,32263,37903,52173,58938,79093,71038,78678,44391,40815,60424,29175,14884,38.1,125696,521559,505956,462549,128891,104483,505956,237495,268461,88.5,104483,45167,59316,76.1,631652,613549,18103,613549,523699,48470,1462,0,0,0,0,20463,4273,5633,650,354,1712,2608,5233,56,N,N,N,N,19399,18103,5994,2308,3838,849,631652,538700,58328,5872,24982,538,23242,631652,127790,2219,104838,1982,18751,503862,429245,42368,299,20129,56,569,11196,251,310M300US44140,"Springfield, MA Metro Area",2017,44140
461469,226076,235393,96.0,29066,27690,28555,32987,40469,59473,52338,57730,30581,26864,42952,23020,9744,37.1,102708,369320,358761,333410,91217,75716,358761,173370,185391,93.5,75716,33401,42315,78.9,461469,448005,13464,448005,426444,9469,2458,0,0,0,0,7038,571,1818,691,545,638,705,2070,492,N,N,N,N,2104,13464,4203,5881,2144,157,461469,439488,14285,8995,9442,702,2590,461469,15698,9705,811,734,4448,445771,414630,9258,2195,6979,492,0,12217,230,310M300US44180,"Springfield, MO Metro Area",2017,44180
134557,64919,69638,93.2,8204,8158,8545,9276,8699,15885,14396,16931,9643,9026,14159,8423,3212,40.8,30186,107784,104371,98131,31442,25794,104371,49495,54876,90.2,25794,11427,14367,79.5,134557,129771,4786,129771,117139,11060,371,0,0,0,0,885,N,N,N,N,N,N,N,23,N,N,N,N,293,4786,3113,577,467,302,134557,121623,14707,1482,1352,N,N,134557,4469,N,N,N,N,130088,113103,10789,371,885,23,226,4691,0,310M300US44220,"Springfield, OH Metro Area",2017,44220
162660,85762,76898,111.5,6534,6266,7162,18532,25863,22213,16766,18455,9084,9364,12770,6723,2928,32.1,24389,141732,138271,116721,27354,22421,138271,73475,64796,113.4,22421,10174,12247,83.1,162660,160506,2154,160506,141962,6749,148,0,0,0,0,11077,1531,6329,348,179,1478,223,989,0,N,N,N,N,570,2154,653,142,605,0,162660,143946,7610,431,11852,N,954,162660,4869,817,1245,938,1869,157791,138632,5995,148,11077,0,48,1891,293,310M300US44300,"State College, PA Metro Area",2017,44300
76149,37124,39025,95.1,4172,3899,4950,9943,10977,9528,7784,8850,2862,4852,4782,2502,1048,29.2,15335,62297,60814,49749,11386,8332,60814,29534,31280,94.4,8332,3703,4629,80.0,76149,73406,2743,73406,49249,21331,435,0,0,0,0,1124,N,N,N,N,N,N,N,0,N,N,N,N,1267,2743,1562,254,294,0,76149,51728,23055,828,1580,N,1738,76149,2912,N,N,N,N,73237,48305,21331,300,1078,0,115,2108,0,310M300US44340,"Statesboro, GA Micro Area",2017,44340
121999,59456,62543,95.1,7110,7104,6439,6504,7185,14924,14218,15806,8989,8507,14233,8334,2646,42.9,24606,99802,97393,93895,29906,25213,97393,46826,50567,92.6,25213,11456,13757,83.3,121999,120040,1959,120040,108441,9426,1041,0,0,0,0,787,N,N,N,N,N,N,N,20,N,N,N,N,325,1959,N,N,N,N,121999,110321,10909,1400,1026,N,414,121999,4863,1634,1298,27,1904,117136,104985,8948,1041,787,0,73,1302,0,310M300US44420,"Staunton-Waynesboro, VA Metro Area",2017,44420
70474,35448,35026,101.2,3733,2580,4706,5888,8656,8380,7558,8257,4291,5042,6742,3462,1179,37.3,13506,58724,56968,51181,14744,11383,56968,28337,28631,99.0,11383,5245,6138,85.5,70474,69517,957,69517,65711,519,67,0,0,0,0,2353,N,N,N,N,N,N,N,0,N,N,N,N,867,957,N,N,N,N,70474,66527,1133,269,2569,N,933,70474,2269,N,N,N,N,68205,64402,455,67,2353,0,0,928,66,310M300US44620,"Stevens Point, WI Micro Area",2017,44620
81575,42009,39566,106.2,4803,5067,3812,7926,16944,11304,7853,6903,3679,3283,5701,3616,684,26.6,16348,66654,65227,56617,12186,10001,65227,32606,32621,100.0,10001,4388,5613,78.2,81575,75716,5859,75716,65736,3562,2879,0,0,0,0,2935,887,1332,146,63,73,178,256,38,N,N,N,N,566,5859,438,3732,657,220,81575,71371,4536,6831,4360,N,1058,81575,3864,N,N,N,N,77711,62584,3452,2879,2935,38,8,5815,0,310M300US44660,"Stillwater, OK Micro Area",2017,44660
745424,370466,374958,98.8,52675,58014,57827,54801,51533,104130,96899,92897,42239,40967,55426,27104,10912,34.3,203135,565235,542289,510450,116256,93442,542289,266542,275747,96.7,93442,40672,52770,77.1,745424,653381,92043,653381,399989,53882,3933,0,0,0,0,114582,21738,11106,36998,1744,1422,8477,33097,5136,1358,770,1051,1957,75859,92043,6664,48294,13848,1241,745424,481934,66868,61677,139395,9814,86250,745424,310067,278943,5369,1331,24424,435357,235440,50693,1337,111968,3987,1531,30401,2301,310M300US44700,"Stockton-Lodi, CA Metro Area",2017,44700
106847,52248,54599,95.7,6588,6111,8116,6725,8202,15108,12435,13020,6880,6317,10355,5465,1525,37.3,24999,84825,81848,77383,20264,17345,81848,39161,42687,91.7,17345,7073,10272,68.9,106847,104467,2380,104467,50529,50835,310,0,0,0,0,1382,N,N,N,N,N,N,N,212,N,N,N,N,1199,2380,676,437,499,156,106847,52385,52039,1157,2181,280,1429,106847,4341,N,N,N,N,102506,48091,50665,266,1382,212,201,1689,0,310M300US44940,"Sumter, SC Metro Area",2017,44940
92029,46329,45700,101.4,4860,4738,4899,5517,4940,11047,10373,12581,7603,6305,10568,5622,2976,44.6,17870,76301,74159,71506,22549,19166,74159,37104,37055,100.1,19166,8314,10852,76.6,92029,91024,1005,91024,86841,3002,121,0,0,0,0,351,N,N,N,N,N,N,N,58,N,N,N,N,651,1005,N,N,N,N,92029,87791,3594,376,587,N,759,92029,3183,N,N,N,N,88846,85082,2311,0,351,58,121,923,0,310M300US44980,"Sunbury, PA Micro Area",2017,44980
654841,319041,335800,95.0,35916,39610,37812,49240,46796,82978,72008,88199,49756,44807,61872,30439,15408,39.5,138514,533903,516327,480812,131266,107719,516327,248251,268076,92.6,107719,47558,60161,79.1,654841,634314,20527,634314,549741,55880,2595,0,0,0,0,21076,2761,6507,1144,664,600,3878,5522,114,N,N,N,N,4908,20527,8238,4672,3185,322,654841,568547,66472,8606,25193,793,7199,654841,27427,3751,13372,1964,8340,627414,533639,53472,2272,20870,114,537,16510,384,310M300US45060,"Syracuse, NY Metro Area",2017,45060
89513,44064,45449,97.0,4782,5320,5165,5462,5472,10961,10861,12406,5967,7170,9848,4624,1475,42.2,18817,73292,70696,67654,19492,15947,70696,34246,36450,94.0,15947,6781,9166,74.0,89513,88460,1053,88460,57402,29242,326,0,0,0,0,162,N,N,N,N,N,N,N,0,N,N,N,N,1328,1053,N,N,N,N,89513,58409,30087,451,N,N,1457,89513,1855,N,N,N,N,87658,56871,29242,322,162,0,54,1007,83,310M300US45180,"Talladega-Sylacauga, AL Micro Area",2017,45180
385473,188407,197066,95.6,18076,22510,22766,30413,50174,54410,47038,41927,24039,21413,32699,13678,6330,33.8,75465,319157,310008,277473,65000,52707,310008,149595,160413,93.3,52707,23853,28854,82.7,385473,376075,9398,376075,236584,123314,364,0,0,0,0,10650,2374,3250,487,645,1141,1309,1444,17,N,N,N,N,5146,9398,3579,1816,2225,0,385473,245386,128297,2641,13796,N,5665,385473,25712,7705,5212,3718,9077,359761,216448,121894,257,10650,17,1371,9124,229,310M300US45220,"Tallahassee, FL Metro Area",2017,45220
3091399,1497422,1593977,93.9,168431,169847,177230,175707,172950,407554,377572,418795,216388,204510,340671,184261,77483,42.0,623686,2540459,2467713,2366126,721548,602415,2467713,1180238,1287475,91.7,602415,269101,333314,80.7,3091399,2995249,96150,2995249,2429223,382775,11066,0,0,0,0,108119,37464,14761,16077,2395,4347,17763,15312,1615,N,N,N,N,62451,96150,40718,10257,17499,3945,3091399,2510990,438349,28380,134460,4951,76403,3091399,601042,122648,195353,109583,173458,2490357,1941222,356782,7673,107256,1363,9493,66568,3193,310M300US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2017,45300
165798,83994,81804,102.7,9611,10035,9248,13527,13248,20728,19027,21046,12089,9311,16250,7754,3924,38.0,35147,134677,130651,120167,32997,27928,130651,65931,64720,101.9,27928,11808,16120,73.3,165798,160775,5023,160775,150228,7087,290,0,0,0,0,2443,N,N,N,N,N,N,N,98,N,N,N,N,629,5023,1064,1922,302,307,165798,154828,9316,3261,2745,196,1217,165798,3198,N,N,N,N,162600,148373,7029,290,2443,98,0,4367,91,310M300US45460,"Terre Haute, IN Metro Area",2017,45460
152188,76434,75754,100.9,9020,9536,11872,8486,11520,18009,20580,18788,10271,9023,15052,7415,2616,38.8,36024,120811,116164,111484,30424,25083,116164,57669,58495,98.6,25083,10720,14363,74.6,152188,148368,3820,148368,108385,36150,1863,0,0,0,0,836,N,N,N,N,N,N,N,0,N,N,N,N,1134,3820,2176,460,738,24,152188,112104,38402,2372,1599,N,1531,152188,8777,N,N,N,N,143411,101937,35918,1337,836,0,53,3330,52,310M300US45500,"Texarkana, TX-AR Metro Area",2017,45500
125165,62316,62849,99.2,2675,1144,2538,4337,2286,6717,7633,8320,5857,12755,42485,21076,7342,67.6,8483,118323,116682,114242,79289,70903,116682,58133,58549,99.3,70903,34047,36856,92.4,125165,123994,1171,123994,112100,9341,435,0,0,0,0,1152,N,N,N,N,N,N,N,0,N,N,N,N,966,1171,N,N,N,N,125165,112983,9580,891,1470,N,1504,125165,7105,4450,711,864,1080,118060,106267,9136,435,957,0,328,937,212,310M300US45540,"The Villages, FL Metro Area",2017,45540
603668,294961,308707,95.5,36508,36673,39390,43006,45457,81642,68890,74609,43258,39587,55934,25425,13289,37.3,135779,484344,467889,438024,118090,94648,467889,224350,243539,92.1,94648,41042,53606,76.6,603668,580202,23466,580202,469587,85137,1479,0,0,0,0,9836,2437,2861,842,500,595,556,2045,323,N,N,N,N,13840,23466,12007,2520,2564,364,603668,491897,98991,5213,13500,723,18185,603668,41591,32399,3607,523,5062,562077,447936,83857,1297,9658,271,1307,17751,721,310M300US45780,"Toledo, OH Metro Area",2017,45780
233149,114570,118579,96.6,14093,16413,14600,14640,13930,28815,26210,29244,17032,16303,24224,11596,6049,40.1,54597,185054,178552,171391,51505,41869,178552,86200,92352,93.3,41869,18905,22964,82.3,233149,225128,8021,225128,199484,15860,2245,0,0,0,0,3213,N,N,N,N,N,N,N,21,N,N,N,N,4305,8021,2599,3691,423,282,233149,206989,19173,6421,3720,N,5193,233149,24024,21849,358,201,1616,209125,181432,15561,1741,3087,21,204,7079,132,310M300US45820,"Topeka, KS Metro Area",2017,45820
182177,90322,91855,98.3,7236,8710,10148,10244,9425,19845,18937,28326,16653,15982,21342,8996,6333,47.3,33087,153829,149090,143480,45141,36671,149090,73051,76039,96.1,36671,16716,19955,83.8,182177,179696,2481,179696,168874,4349,391,0,0,0,0,3511,290,229,1247,61,223,1177,284,0,N,N,N,N,2571,2481,316,520,722,28,182177,171229,4805,1207,4574,N,3104,182177,11498,1099,3622,601,6176,170679,160609,3600,380,3511,0,484,2095,370,310M300US45860,"Torrington, CT Micro Area",2017,45860
148671,73101,75570,96.7,7070,7499,8526,9273,7341,16926,16053,19585,11555,12614,19400,8570,4259,45.7,28970,123761,119701,114732,39536,32229,119701,58687,61014,96.2,32229,15110,17119,88.3,148671,144556,4115,144556,140199,913,1304,0,0,0,0,888,N,N,N,N,N,N,N,178,N,N,N,N,1074,4115,527,2505,553,25,148671,144134,1681,3992,1585,N,1202,148671,4219,N,N,N,N,144452,137605,913,1256,888,0,192,3598,8,310M300US45900,"Traverse City, MI Micro Area",2017,45900
374733,183315,191418,95.8,20879,22047,22601,27868,29429,47046,47788,52696,25239,23794,31310,15643,8393,38.4,79885,303952,294848,275764,69434,55346,294848,142328,152520,93.3,55346,23568,31778,74.2,374733,364661,10072,364661,237298,78243,117,0,0,0,0,41449,21108,10172,2070,1214,3250,704,2931,94,N,N,N,N,7460,10072,3294,575,2808,90,374733,246226,82248,1312,45929,1143,9227,374733,66663,7810,16390,1118,41345,308070,184256,74509,0,41442,0,215,7648,562,310M300US45940,"Trenton, NJ Metro Area",2017,45940
99814,49725,50089,99.3,3901,5194,4626,5337,3805,9666,11253,11628,8437,9512,16407,6977,3071,51.3,17283,85135,82531,80332,31839,26455,82531,40329,42202,95.6,26455,12742,13713,92.9,99814,95661,4153,95661,93198,489,528,0,0,0,0,504,N,N,N,N,N,N,N,150,N,N,N,N,792,4153,150,1623,1744,0,99814,97351,763,2314,2393,655,885,99814,9438,N,N,N,N,90376,84694,394,512,504,150,329,3793,41,310M300US46020,"Truckee-Grass Valley, CA Micro Area",2017,46020
